circuit,task,head_i,head_j,layer_i,layer_j,layer_dist,walsh_coeff,abs_walsh,ov_overlap,qk_comp,q_comp_ij,q_comp_ji,k_comp_ij,k_comp_ji,mean_principal_angle,faithfulness
rti_C6_epistatic,rti,L9H6,L2H2,9,2,7,0.0023891444006665097,0.0023891444006665097,0.03424161672592163,0.04670026898384094,0.0,0.03322385996580124,0.0,0.04670026898384094,1.5132124423980713,2.6196567434817553
rti_C6_epistatic,rti,L9H6,L5H6,9,5,4,0.001502430798353771,0.001502430798353771,0.03347960487008095,0.06026937812566757,0.0,0.033098239451646805,0.0,0.06026937812566757,1.5151618719100952,2.6196567434817553
rti_C6_epistatic,rti,L9H6,L2H11,9,2,7,-0.00021683761596591467,0.00021683761596591467,0.026972979307174683,0.04492336884140968,0.0,0.04492336884140968,0.0,0.03886539489030838,1.507934808731079,2.6196567434817553
rti_C6_epistatic,rti,L2H2,L5H6,2,5,3,-0.0037420955928553212,0.0037420955928553212,0.05722762644290924,0.05403639003634453,0.05403639003634453,0.0,0.050771914422512054,0.0,1.4017901420593262,2.6196567434817553
rti_C6_epistatic,rti,L2H2,L2H11,2,2,0,0.0003558036647461904,0.0003558036647461904,0.03793816640973091,0.0,0.0,0.0,0.0,0.0,1.4817652702331543,2.6196567434817553
rti_C6_epistatic,rti,L5H6,L2H11,5,2,3,0.0006152353850836789,0.0006152353850836789,0.036404162645339966,0.0428503043949604,0.0,0.0428503043949604,0.0,0.03956384211778641,1.4773931503295898,2.6196567434817553
rti_random,rti,L0H3,L1H0,0,1,1,-0.0005553539633069704,0.0005553539633069704,0.03501413017511368,0.02764902636408806,0.026507170870900154,0.0,0.02764902636408806,0.0,1.4840514659881592,0.12627003341913223
rti_random,rti,L0H3,L1H10,0,1,1,-0.0006341978367458978,0.0006341978367458978,0.0353541299700737,0.02366635948419571,0.02146243490278721,0.0,0.02366635948419571,0.0,1.4853739738464355,0.12627003341913223
rti_random,rti,L0H3,L3H8,0,3,3,0.0003769924979337702,0.0003769924979337702,0.036038972437381744,0.04486558958888054,0.02910570241510868,0.0,0.04486558958888054,0.0,1.4750491380691528,0.12627003341913223
rti_random,rti,L0H3,L3H9,0,3,3,-0.0020218341005033835,0.0020218341005033835,0.03624400496482849,0.03655868023633957,0.028363259509205818,0.0,0.03655868023633957,0.0,1.4762518405914307,0.12627003341913223
rti_random,rti,L0H3,L3H10,0,3,3,-0.0013022200201362466,0.0013022200201362466,0.035829417407512665,0.03136633336544037,0.02896493300795555,0.0,0.03136633336544037,0.0,1.488476276397705,0.12627003341913223
rti_random,rti,L0H3,L4H8,0,4,4,0.0012776988422160684,0.0012776988422160684,0.037237804383039474,0.029464785009622574,0.02856752648949623,0.0,0.029464785009622574,0.0,1.4676427841186523,0.12627003341913223
rti_random,rti,L0H3,L6H5,0,6,6,6.189556023628029e-05,6.189556023628029e-05,0.03767330199480057,0.03558703139424324,0.03312642127275467,0.0,0.03558703139424324,0.0,1.4784109592437744,0.12627003341913223
rti_random,rti,L0H3,L6H10,0,6,6,-0.00013805918894149727,0.00013805918894149727,0.036576855927705765,0.028294865041971207,0.028294865041971207,0.0,0.027877075597643852,0.0,1.4829920530319214,0.12627003341913223
rti_random,rti,L0H3,L7H10,0,7,7,0.00015960480749299677,0.00015960480749299677,0.0348728783428669,0.0357246957719326,0.0357246957719326,0.0,0.02845584787428379,0.0,1.488430380821228,0.12627003341913223
rti_random,rti,L0H3,L8H1,0,8,8,3.9055465492765506e-05,3.9055465492765506e-05,0.032913435250520706,0.0329810231924057,0.0329810231924057,0.0,0.032592806965112686,0.0,1.492210030555725,0.12627003341913223
rti_random,rti,L0H3,L8H8,0,8,8,0.0002826537364057913,0.0002826537364057913,0.03771628066897392,0.03943415358662605,0.03271431103348732,0.0,0.03943415358662605,0.0,1.4929776191711426,0.12627003341913223
rti_random,rti,L0H3,L8H11,0,8,8,-0.0012498759276127203,0.0012498759276127203,0.0333394780755043,0.037082646042108536,0.03405739367008209,0.0,0.037082646042108536,0.0,1.4872777462005615,0.12627003341913223
rti_random,rti,L0H3,L9H4,0,9,9,-0.000486551654773848,0.000486551654773848,0.034287333488464355,0.035003144294023514,0.03287145867943764,0.0,0.035003144294023514,0.0,1.495708703994751,0.12627003341913223
rti_random,rti,L0H3,L10H8,0,10,10,8.947716878537904e-08,8.947716878537904e-08,0.02995915897190571,0.038182735443115234,0.035565126687288284,0.0,0.038182735443115234,0.0,1.4966113567352295,0.12627003341913223
rti_random,rti,L1H0,L1H10,1,1,0,0.000690139579148763,0.000690139579148763,0.034810200333595276,0.0,0.0,0.0,0.0,0.0,1.4962009191513062,0.12627003341913223
rti_random,rti,L1H0,L3H8,1,3,2,0.0003316156384585156,0.0003316156384585156,0.04486708343029022,0.039518341422080994,0.039518341422080994,0.0,0.030429339036345482,0.0,1.4675052165985107,0.12627003341913223
rti_random,rti,L1H0,L3H9,1,3,2,-4.412523651353695e-06,4.412523651353695e-06,0.043097078800201416,0.04016585648059845,0.04016585648059845,0.0,0.033128924667835236,0.0,1.453474760055542,0.12627003341913223
rti_random,rti,L1H0,L3H10,1,3,2,0.0022054897909242754,0.0022054897909242754,0.036559320986270905,0.045994773507118225,0.045994773507118225,0.0,0.0437745675444603,0.0,1.5051097869873047,0.12627003341913223
rti_random,rti,L1H0,L4H8,1,4,3,-0.0003765635552213098,0.0003765635552213098,0.0382697694003582,0.036937084048986435,0.03489316999912262,0.0,0.036937084048986435,0.0,1.4796855449676514,0.12627003341913223
rti_random,rti,L1H0,L6H5,1,6,5,-0.0002487867647573694,0.0002487867647573694,0.03371698036789894,0.03534696251153946,0.03534696251153946,0.0,0.03487127646803856,0.0,1.4938340187072754,0.12627003341913223
rti_random,rti,L1H0,L6H10,1,6,5,0.00018933780785346244,0.00018933780785346244,0.034393128007650375,0.033361420035362244,0.03308355435729027,0.0,0.033361420035362244,0.0,1.4865922927856445,0.12627003341913223
rti_random,rti,L1H0,L7H10,1,7,6,0.0002156483224666772,0.0002156483224666772,0.03862196207046509,0.07265597581863403,0.045977845788002014,0.0,0.07265597581863403,0.0,1.4878259897232056,0.12627003341913223
rti_random,rti,L1H0,L8H1,1,8,7,-9.960075828985282e-06,9.960075828985282e-06,0.046039603650569916,0.05533652752637863,0.03951986879110336,0.0,0.05533652752637863,0.0,1.4825339317321777,0.12627003341913223
rti_random,rti,L1H0,L8H8,1,8,7,-3.9664210419232404e-05,3.9664210419232404e-05,0.03554357588291168,0.033829864114522934,0.03287049010396004,0.0,0.033829864114522934,0.0,1.4989063739776611,0.12627003341913223
rti_random,rti,L1H0,L8H11,1,8,7,-0.0024883679755589583,0.0024883679755589583,0.04165743663907051,0.03623119741678238,0.03253895044326782,0.0,0.03623119741678238,0.0,1.471153974533081,0.12627003341913223
